"";"Transporte";"CulturaDeporte";"Educa";"Vivienda";"AguaSaneamiento";"Agro";"InclusReconci";"AmbienteSostenible";"SaludProtecc";"MinasEnerg";"Telecom";"ComIndTur"
"60";"metro";"industrias";"sfch";"coberturas";"amb";"admisibilidad";"posconflicto";"ambientales";"metabolismo";"hotelero";"csirt";"envíos"
"61";"km";"cultura";"estudiantiles";"fonvivienda";"ea";"madr";"psicosocial";"cvc";"dosis";"programa";"digital";"sofisticación"
"62";"buses";"culturales";"calidad";"hogares";"reciclaje";"invima";"conflicto";"interdisciplinarios";"zinc";"energética";"televisión";"postal"
"63";"túnel";"cine";"colfuturo";"habilitado";"potable";"sanidad";"reparación";"genéticos";"servicios";"energía";"tecnologías";"cnc"
"64";"avenida";"revitalización";"mérito";"catastrales";"pda";"control";"atención";"manejo";"tétanos";"generación";"satelital";"innovación"
"65";"vía";"producciones";"estudiantes";"condicionada";"básico";"algodón";"armado";"biodiversidad";"prestación";"operación";"compartel";"planilla"
"66";"sitp";"paisaje";"icetex";"hipotecarios";"halla";"carne";"juntos";"agua";"deficiencia";"iluminación";"tic";"empresarial"
"67";"operación";"músicos";"beca";"avalúos";"sólidos";"papa";"forzado";"ids";"materna";"reservas";"cibernéticas";"tlc"
"68";"tramo";"coldeportes";"depreciación";"viviendas";"reutilización";"lácteo";"fcp";"car";"ips";"ecopetrol";"interesadas";"economía"
"69";"movilidad";"recuperación";"cigerh";"habitacional";"alcantarillado";"aves";"violencia";"contaminación";"hierro";"zni";"servicios";"decente"
"70";"corredores";"cafetero";"aulas";"interés";"mvct";"biofertilizantes";"desplazamiento";"debidas";"diarias";"crudo";"ataques";"visas"
"71";"construcción";"estadios";"paga";"vip";"tratamiento";"influenza";"negra";"sostenible";"niños";"refinación";"inalámbricas";"electrónico"
"72";"intercambiador";"didácticos";"dotaciones";"smmlv";"cauces";"aceite";"infracciones";"cormagdalena";"tos";"costos";"seguridad";"cooperativas"
"73";"malla";"audiovisual";"educativo";"uvr";"prestación";"bpa";"desmovilización";"sinap";"calcio";"ecuario";"internet";"mipymes"
"74";"masivo";"centros";"condonable";"vivienda";"snpad";"vegetales";"desaparición";"cmnucc";"carpeta";"ipse";"órbita";"industria"
"75";"patio";"pintura";"beneficiarios";"suelo";"presa";"plagas";"mujeres";"ingredientes";"social";"eléctrica";"defensa";"cooperativo"
"76";"red";"turismo";"media";"catastros";"lineal";"productores";"iica";"áreas";"solidaridad";"recomienda";"security";"superintendencias"
"77";"infraestructura";"creativas";"csf";"crédito";"separación";"veterinarios";"mujer";"conaire";"reorganización";"biodiesel";"wimax";"simplificación"
"78";"rutinario";"urbana";"créditos";"leasing";"relleno";"cultivo";"ce";"biotecnología";"vigencia";"oleoductos";"telefónica";"empresarios"
"79";"viaje";"artísticos";"humano";"ahorradores";"servicios";"vigilancia";"integral";"río";"maestras";"mayorista";"compañía";"trabajo"
"80";"viajes";"agrupaciones";"alumnos";"snr";"botaderos";"toneladas";"afirmativas";"gestionado";"iss";"rt";"radiodifusión";"precooperativas"
"81";"costos";"inmaterial";"crédito";"tasa";"compostaje";"hortalizas";"reclutamiento";"mavdt";"alimentos";"barril";"acceso";"fallas"
"82";"minutos";"sub";"cohorte";"casa";"servicio";"comercialización";"reconciliación";"inspeccion";"lactantes";"acondicionado";"señal";"exterior"
"83";"trenes";"deportiva";"conciliación";"segmento";"aprovechamiento";"agropecuario";"género";"biológicos";"nutrición";"energy";"servicio";"servicios"
"84";"patios";"bienes";"simat";"cobertura";"sanitarios";"animal";"sexual";"gestión";"mg";"minero";"múltiples";"instrumentos"
"85";"público";"estética";"académico";"macroproyecto";"rural";"dic";"proceso";"mataderos";"valor";"eficiencia";"inalámbrica";"instruir"
